#,Term,Sinhala Term,Tamil Term,Glossary
1782,decisory,නි‍‍ර්ණේය,முடிவாக்கும்,Law
1783,decisory oath,නි‍‍ර්ණේය දිවුරුම,முடிவாக்கும் சத்தியப்பிரமாணம்,Law
1784,deck cargo,නැව් තට්ටු බඩු,தளச் சரக்கு,Law
1785,declarant,ප‍්‍රකාශකයා,வெளிப்படுத்துநர்; விளம்பி,Law
1786,declaration,ප‍්‍රකාශය,வெளிப்படுத்துகை,Law
1787,declaration of intention,චේතනාව ප‍්‍රකාශ කිරීම,முன்னத்தை வெளிப்படுத்தல்,Law
1788,declaration of legitimacy,සුජාතභාවය ප‍්‍රකාශ කිරීම,மகவுமுறைமை வெளிப்படுத்துகை,Law
1789,declaration of neutrality,මධ්‍යස්ථ ප‍්‍රකාශය,புடைசாராநிலை வெளிப்படுத்துகை,Law
1790,declaration of nullity of marriage,විවාහ නිෂ්ප‍්‍රභතා ප‍්‍රකාශය,திருமண வறிதுநிலை வெளிப்படுத்துகை,Law
1791,declaration of secrecy,රහස්‍යතා ප‍්‍රකාශය,இரகசியம்பேணல் வெளிப்படுத்துகை,Law
1792,declaration of title,හිමිකම් ප‍්‍රකාශය,உரித்து வெளிப்படுத்துகைப் பிரகடனம்,Law
1793,declaration of trsut,භාර ප‍්‍රකාශය; විශ්වසන ප‍්‍රකාශය,நம்பிக்கைப்பொறுப்பு வெளிப்படுத்துகை,Law
1794,declaration of war,යුද්ධ ප‍්‍රකාශය,போர்ப் பிரகடனம்,Law
1795,declaratory,ප‍්‍රකාශනීය,விளம்பும்; வெளிப்படுத்தும்,Law
1796,declaratory action,ප‍්‍රකාශනීය නඩුව,விளம்பல் வழக்கு,Law
1797,declaratory judgement,ප‍්‍රකාශනීය තීන්දුව,விளம்பற்றீர்ப்பு,Law
1798,declaratory order,ප‍්‍රකාශනීය ආඥාව,விளம்பற் கட்டளை,Law
1799,declaratory proceedings,ප‍්‍රකාශනීය පරිපාටිකරය,விளம்பல் நடவடிக்கைகள்,Law
1800,declaratory statute,ප‍්‍රකාශනීය ව්‍යවස්ථාව,விளம்பல் நியதிச்சட்டம்,Law
1801,declare,ප‍්‍රකාශ කරනවා,வெளிப்படுத்து,Law
1802,declare null and void,ශුන්‍ය හා බලරහිත යැයි ප‍්‍රකාශ කරනවා,வெற்று வறிதென வெளிப்படுத்து,Law
1803,declared profits,ප‍්‍රකාශිත ලාභ,வெளிப்படுத்தப்பட்ட இலாபங்கள்,Law
1804,decline,ක‍්‍රමයෙන් පිරිභෙනවා; ප‍්‍රතික්ෂේප කරනවා,வீழ்ச்சி; மறு,Law
1805,decomposition,විසංයෝජනය,உருக்குலைவு,Law
1806,decoy,උපාය දූතයා,பார்வல்,Law
1807,decree,තීන්දු ප‍්‍රකාශය,தீர்வை,Law
1808,decree absolute,නියත තීන්දු ප‍්‍රකාශය,முற்றான தீர்வை,Law
1809,decree holder,තීන්දු ප‍්‍රකාශය දරන්නා,தீர்வை கொண்டவர்,Law
1810,decree nisi,නයිසයි තීන්දු ප‍්‍රකාශය,முற்றாத் தீர்வை; நைசைத் தீர்வை,Law
1811,decree of foreclosure,උකස් ‍‍දේපළ අහිමිකිරීමේ තීන්දු ප‍්‍රකාශය,முற்றடுப்புத் தீர்வை,Law
1812,decree of nullity of marriage,විවාහ නිෂ්ප‍්‍රභ තීන්දු ප‍්‍රකාශය,திருமண வறிதுத் தீர்வை,Law
1813,decree of partition,බෙදුම් තීන්දු ප‍්‍රකාශය,பிரிவிடல் தீர்வை,Law
1814,decree of separation,වෙන්වීමේ තීන්දු ප‍්‍රකාශය,பிரிவுத் தீர்வை,Law
1815,decretal order,තීන්දු ප‍්‍රකාශාත්මක ආඥාව,தீர்வைக் கட்டளை,Law
1816,dedicated,කැපවූ,அர்ப்பணிப்புள்ள,Law
1817,dedication,කැපවීම,அர்ப்பணம்,Law
1818,deduce,නිගමනය කරනවා,உய்த்தறி,Law
1819,deduction,අඩු කිරීම;  නිගමනය,ஊகம் உய்த்தறிதல்,Law
1820,deductive,නිගාමී,உய்த்தறியும்,Law
1821,deductive reasoning,නිගාමී තර්කනය,உய்த்தறி நியாயிப்பு,Law
1822,deed,ඔප්පුව; ක‍්‍රියාව,உறுதி,Law
1823,deed of agreement,ගිවිසුම් ඔප්පුව,உடன்படிக்கை உறுதி,Law
1824,deed of arrangement,සම්මුති ඔප්පුව,ஒழுங்குபாட்டு உறுதி,Law
1825,deed of assignment,පැවරුම් ඔප්පුව,சாட்டுதல் உறுதி,Law
1826,deed of conveyance,සින්නක්කර විකිණුම් ඔප්පුව,உரித்துமாற்று உறுதி,Law
1827,deed of covenant,ප්‍රතිඥා ඔප්පුව,வரையுடம்பாட்டு உறுதி,Law
1828,deed of gift,ත්‍යාග ඔප්පුව,கொடை உறுதி,Law
1829,deed of grant,ප්‍රදාන ඔප්පුව,மானியக்கொடை உறுதி,Law
1830,deed of partnership,හවුල් ව්‍යාපාර ඔප්පුව,பங்காண்மை உறுதி,Law
1831,deed of sale,විකිණුම් ඔප්පුව,விற்பனை உறுதி,Law
1832,deed of separation,වෙන්කිරිමේ ඔප්පුව,பிரிவு உறுதி,Law
1833,deed of settlement,නිරවුල් කිරිමේ ඔප්පුව,இணங்கல் உறுதி,Law
1834,deed of transfer,පැවරූ ඔප්පුව,கைமாற்றல் உறுதி,Law
1835,deed poll,ඒකපාක්ෂික,தனியுறுதி; ஒருபுடையுறுதி,Law
1836,deed under seal,මුද්‍රාතැබූ ඔප්පුව,இலச்சினை உறுதி,Law
1837,deeds and documents (execution before public officers) ordinance,ඔප්පු සහ ලේඛන (රජයේ නිලධාරීන් ඉදිරියේ අත්සන් කිරීමේ) ආඥාපනත,உறுதிகளும் ஆவணங்களும்,Law
1838,deem,සලකනවා; අනූහනය කරනවා,கருது,Law
1839,deface,විරූපකරනවා;  මකා දමනවා,முகமழி ;உருக்குலைத்தல்,Law
1840,defalcate,ව්‍යපහරණය කරනවා ; අයථා ලෙස පරිහරණය කරනවා,கையாடு,Law
